order,word,freq
14173,environment,56.01180397
40948,covid,51.61642643
21219,continue,46.85728712
57021,remain,46.26587737
27815,growth,44.01673145
26737,global,41.34019937
19944,economy,40.54005028
26580,given,40.52129123
17022,demand,40.38424131
11621,challenge,39.50305927
19946,china,38.39337291
53236,positive,38.084153
21945,europe,38.01119211
38257,level,37.96456921
30759,pandemy,37.04971898
49824,overall,36.656992
6235,believe,36.62840926
61066,see,36.49017608
13950,confident,35.58024133
65400,still,35.34953257
49737,outlook,34.67394877
56796,region,34.65948052
14795,covid,34.64969857
20884,end,34.60334653
32357,industries,34.1796673
64393,spend,33.86294141
45987,near,33.79202254
14129,consumer,33.7508972
22498,face,33.74792614
551,active,33.55556958
